frame,timestamp,track_id,x1,y1,x2,y2,x_center,y_center,bbox_width,bbox_height,zone,movement_pixels,is_stable,display_id
0,0.0,1,826.6,300.6,859.7,399.0,843.1,349.8,33.1,98.4,Right,0.0,True,Track Segment 1
0,0.0,2,452.1,255.1,481.0,326.6,466.6,290.9,28.9,71.5,Middle,0.0,True,Track Segment 2
0,0.0,3,273.9,248.0,350.4,312.8,312.2,280.4,76.4,64.7,Left,0.0,True,Track Segment 3
0,0.0,4,99.4,249.2,125.6,336.2,112.5,292.7,26.3,87.0,Left,0.0,True,Track Segment 4
0,0.0,5,375.3,241.0,412.8,298.5,394.1,269.8,37.4,57.5,Middle,0.0,False,
0,0.0,6,622.6,255.9,646.1,339.3,634.4,297.6,23.5,83.4,Middle,0.0,True,Track Segment 5
0,0.0,7,638.1,256.7,664.1,339.2,651.1,298.0,26.0,82.5,Right,0.0,True,Track Segment 6
0,0.0,8,210.9,231.5,246.8,302.2,228.8,266.8,35.9,70.6,Left,0.0,True,Track Segment 7
0,0.0,9,150.8,231.5,195.3,307.9,173.1,269.7,44.5,76.5,Left,0.0,False,
0,0.0,10,173.5,246.2,201.5,308.3,187.5,277.3,27.9,62.0,Left,0.0,True,Track Segment 8
0,0.0,11,134.5,227.1,163.8,297.5,149.2,262.3,29.2,70.4,Left,0.0,True,Track Segment 9
0,0.0,12,159.6,229.5,187.0,302.0,173.3,265.8,27.3,72.5,Left,0.0,False,
3,0.05,1,830.0,302.8,862.1,398.3,846.0,350.6,32.1,95.5,Right,3.0,True,Track Segment 1
3,0.05,2,452.2,255.0,480.7,325.5,466.5,290.3,28.5,70.4,Middle,0.6,True,Track Segment 2
3,0.05,3,276.7,250.3,351.4,313.6,314.0,282.0,74.7,63.3,Left,2.4,True,Track Segment 3
3,0.05,4,100.7,250.3,126.7,336.2,113.7,293.2,26.0,86.0,Left,1.3,True,Track Segment 4
3,0.05,5,377.7,241.3,414.8,298.2,396.3,269.8,37.1,56.9,Middle,2.2,False,
3,0.05,6,623.2,255.1,646.7,338.3,635.0,296.7,23.5,83.2,Middle,1.1,True,Track Segment 5
3,0.05,7,639.7,256.6,665.4,338.1,652.6,297.4,25.6,81.5,Right,1.6,True,Track Segment 6
